country,country_code,year,gdp_per_capita,gdp_growth,life_expectancy,mortality_under5
China,CHN,1969,247.6174,16.9400,55.988,118.0
China,CHN,1970,287.3610,19.3000,56.824,112.1
China,CHN,1971,299.3128,7.0600,57.731,106.3
China,CHN,1972,303.1743,3.8100,58.579,100.8
China,CHN,1973,319.3253,7.7600,59.496,95.2
China,CHN,1974,320.0214,2.3100,60.241,89.7
China,CHN,1975,341.8355,8.7200,60.952,84.3
China,CHN,1976,331.3024,-1.5700,61.225,79.1
China,CHN,1977,351.5583,7.5700,62.458,74.2
China,CHN,1978,386.1733,11.3260,63.102,69.8
China,CHN,1979,409.9834,7.5913,63.704,65.9
China,CHN,1980,436.5918,7.8341,64.243,62.6
China,CHN,1981,453.0727,5.1128,64.778,59.9
China,CHN,1982,486.8944,9.0593,65.249,57.7
China,CHN,1983,531.3913,10.7274,65.728,56.1
China,CHN,1984,604.3540,15.2326,66.148,54.9
China,CHN,1985,676.2800,13.4355,66.532,54.2
China,CHN,1986,725.8294,8.9351,66.887,53.9
China,CHN,1987,797.3411,11.6282,67.263,53.8
China,CHN,1988,872.6594,11.2226,67.607,53.9
China,CHN,1989,895.5305,4.2063,67.930,53.8
China,CHN,1990,917.2707,3.9416,68.155,53.6
China,CHN,1991,989.5485,9.3617,68.610,53.0
China,CHN,1992,1117.2733,14.2996,69.059,52.1
China,CHN,1993,1258.3495,13.9291,69.492,50.8
China,CHN,1994,1406.8585,13.0727,69.835,49.2
China,CHN,1995,1545.1943,11.0328,70.363,47.4
China,CHN,1996,1681.6274,9.9762,70.823,45.5
China,CHN,1997,1819.0979,9.2876,71.227,43.5
China,CHN,1998,1944.4372,7.9208,71.601,41.4
China,CHN,1999,2076.8181,7.7370,71.952,39.1
China,CHN,2000,2237.4430,8.5864,72.288,36.6
China,CHN,2001,2405.8940,8.3126,72.675,34.1
China,CHN,2002,2610.7296,9.2434,73.034,31.4
China,CHN,2003,2857.0374,10.1182,73.385,28.8
China,CHN,2004,3127.8628,10.1314,73.727,26.3
China,CHN,2005,3465.8173,11.4582,74.085,24.0
China,CHN,2006,3883.3541,12.6747,74.404,21.9
China,CHN,2007,4409.7570,14.1500,74.789,20.1
China,CHN,2008,4811.4747,9.6702,74.833,18.5
China,CHN,2009,5237.7667,9.4027,75.317,17.1
China,CHN,2010,5764.8653,10.5963,75.668,15.7
China,CHN,2011,6275.9096,9.4613,75.889,14.6
China,CHN,2012,6723.1944,7.8562,76.200,13.5
China,CHN,2013,7198.0688,7.7787,76.452,12.5
China,CHN,2014,7686.5779,7.4619,76.714,11.6
China,CHN,2015,8175.3329,6.9788,76.975,10.7
China,CHN,2016,8679.3770,6.7756,77.214,10.0
China,CHN,2017,9221.5140,6.8913,77.235,9.3
China,CHN,2018,9798.6529,6.7567,77.709,8.6
China,CHN,2019,10356.4804,6.0685,77.940,8.0
China,CHN,2020,10573.6420,2.3402,78.019,7.5
China,CHN,2021,11469.5707,8.5701,78.117,7.0
China,CHN,2022,11830.5984,3.1342,78.202,6.6
China,CHN,2023,12484.1579,5.4148,77.953,6.1
United States,USA,1961,19015.9777,2.3000,70.271,29.5
United States,USA,1962,19868.0208,6.1000,70.120,28.9
United States,USA,1963,20445.8369,4.4000,69.917,28.3
United States,USA,1964,21333.2984,5.8000,70.166,27.7
United States,USA,1965,22416.6242,6.4000,70.215,27.1
United States,USA,1966,23599.5749,6.5000,70.212,26.4
United States,USA,1967,23927.5975,2.5000,70.561,25.7
United States,USA,1968,24826.9927,4.8000,69.951,24.9
United States,USA,1969,25347.7065,3.1000,70.507,24.1
United States,USA,1970,25108.3874,0.2166,70.807,23.3
United States,USA,1971,25609.2944,3.2927,71.107,22.4
United States,USA,1972,26668.1690,5.2555,71.156,21.5
United States,USA,1973,27906.1356,5.6457,71.356,20.6
United States,USA,1974,27502.8549,-0.5406,71.956,19.7
United States,USA,1975,27177.0168,-0.2056,72.605,18.8
United States,USA,1976,28370.4570,5.3880,72.856,17.9
United States,USA,1977,29385.3193,4.6242,73.256,17.1
United States,USA,1978,30684.9988,5.5352,73.356,16.3
United States,USA,1979,31309.0493,3.1660,73.805,15.6
United States,USA,1980,30930.4215,-0.2568,73.610,15.0
United States,USA,1981,31405.6063,2.5377,74.010,14.4
United States,USA,1982,30546.7587,-1.8030,74.361,13.9
United States,USA,1983,31656.1737,4.5838,74.463,13.4
United States,USA,1984,33654.3079,7.2365,74.563,13.0
United States,USA,1985,34748.2669,4.1696,74.563,12.7
United States,USA,1986,35620.7594,3.4627,74.615,12.4
United States,USA,1987,36523.4045,3.4546,74.766,12.1
United States,USA,1988,37705.0600,4.1770,74.766,11.9
United States,USA,1989,38722.2522,3.6722,75.017,11.6
United States,USA,1990,39009.3725,1.8860,75.215,11.2
United States,USA,1991,38449.8815,-0.1083,75.366,10.9
United States,USA,1992,39256.0481,3.5225,75.617,10.5
United States,USA,1993,39807.8795,2.7518,75.420,10.1
United States,USA,1994,40907.0184,4.0290,75.620,9.8
United States,USA,1995,41507.9136,2.6844,75.622,9.5
United States,USA,1996,42575.6897,3.7728,76.027,9.2
United States,USA,1997,43936.9050,4.4471,76.429,8.9
United States,USA,1998,45374.6215,4.4831,76.580,8.7
United States,USA,1999,47004.4690,4.7884,76.583,8.6
United States,USA,2000,48379.7552,4.0776,76.637,8.4
United States,USA,2001,48361.0168,0.9555,76.837,8.3
United States,USA,2002,48729.1586,1.7004,76.937,8.2
United States,USA,2003,49662.7521,2.7956,77.037,8.1
United States,USA,2004,51098.5573,3.8478,77.488,8.1
United States,USA,2005,52393.4513,3.4835,77.488,8.0
United States,USA,2006,53335.5897,2.7845,77.688,7.9
United States,USA,2007,53889.3965,2.0039,77.988,7.7
United States,USA,2008,53442.7137,0.1136,78.039,7.6
United States,USA,2009,51611.3217,-2.5765,78.390,7.5
United States,USA,2010,52555.7695,2.6952,78.541,7.3
United States,USA,2011,52956.6630,1.5644,78.641,7.2
United States,USA,2012,53738.1477,2.2891,78.741,7.0
United States,USA,2013,54462.6252,2.1178,78.741,6.9
United States,USA,2014,55394.4510,2.5238,78.841,6.8
United States,USA,2015,56572.9189,2.9456,78.690,6.8
United States,USA,2016,57151.4708,1.8195,78.539,6.7
United States,USA,2017,58151.7021,2.4576,78.539,6.6
United States,USA,2018,59526.6657,2.9665,78.639,6.5
United States,USA,2019,60750.9899,2.5838,78.788,6.5
United States,USA,2020,59194.6665,-2.1630,76.980,6.5
United States,USA,2021,62680.2504,6.0551,76.329,6.5
United States,USA,2022,63886.1317,2.5124,77.434,6.5
United States,USA,2023,65186.5977,2.8876,78.385,6.5
